,Account,Month,Imputed_KWH,Imputed_Charges
0,Building_Code-B8 - Account_ID-1021,2014-12-01,369811.76470588235,46277.48382352941
1,Building_Code-B8 - Account_ID-1021,2015-01-01,379631.37254901964,49390.435196078426
2,Building_Code-B8 - Account_ID-1021,2015-02-01,387140.2298850575,58680.353505747116
3,Building_Code-B8 - Account_ID-1021,2015-03-01,405767.2969966629,60384.08289210233
4,Building_Code-B8 - Account_ID-1021,2015-04-01,372665.8064516129,61792.559268817204
5,Building_Code-B8 - Account_ID-1021,2015-05-01,445401.3793103448,73045.95508045977
6,Building_Code-B8 - Account_ID-1021,2015-06-01,457908.62068965525,89031.43008620689
7,Building_Code-B8 - Account_ID-1021,2015-07-01,457098.275862069,93066.81715517242
8,Building_Code-B8 - Account_ID-1021,2015-08-01,481591.724137931,93993.24767816093
9,Building_Code-B8 - Account_ID-1021,2015-09-01,428035.8620689655,81185.62128735633
10,Building_Code-B8 - Account_ID-1021,2015-10-01,435224.1379310345,66988.95637931034
11,Building_Code-B8 - Account_ID-1021,2015-11-01,395300.0,60334.272333333334
12,Building_Code-B8 - Account_ID-1021,2015-12-01,335364.70588235295,53169.78325490196
13,Building_Code-B8 - Account_ID-1021,2016-01-01,347701.96078431373,54435.65107843137
14,Building_Code-B8 - Account_ID-1021,2016-02-01,371475.26881720434,54674.720268817204
15,Building_Code-B8 - Account_ID-1021,2016-03-01,358795.9955506118,57906.58944382647
16,Building_Code-B8 - Account_ID-1021,2016-04-01,371586.20689655177,57071.38103448275
17,Building_Code-B8 - Account_ID-1021,2016-05-01,458489.1954022988,71647.65158620689
18,Building_Code-B8 - Account_ID-1021,2016-06-01,406511.6666666667,77890.93131249999
19,Building_Code-B8 - Account_ID-1021,2016-07-01,434033.6206896552,87126.98848060344
20,Building_Code-B8 - Account_ID-1021,2016-08-01,489561.3793103448,90283.70554022987
21,Building_Code-B8 - Account_ID-1021,2016-09-01,435215.4838709677,77926.9651827957
22,Building_Code-B8 - Account_ID-1021,2016-10-01,424037.84946236556,65802.68348387096
23,Building_Code-B8 - Account_ID-1021,2016-11-01,367839.99999999994,57041.289333333334
24,Building_Code-B8 - Account_ID-1021,2016-12-01,371527.8431372549,57865.05178431373
25,Building_Code-B8 - Account_ID-1021,2017-01-01,370858.82352941175,55552.03463235294
26,Building_Code-B8 - Account_ID-1021,2017-02-01,344848.275862069,54569.68624999999
27,Building_Code-B8 - Account_ID-1021,2017-03-01,389008.86699507385,57163.05142857143
28,Building_Code-B8 - Account_ID-1021,2017-04-01,381611.82266009855,57045.374778325124
29,Building_Code-B8 - Account_ID-1021,2017-05-01,400651.0344827586,64347.073793103445
30,Building_Code-B8 - Account_ID-1021,2017-06-01,409680.0,74118.43249999998
31,Building_Code-B8 - Account_ID-1021,2017-07-01,439710.3448275862,75712.51405172414
32,Building_Code-B8 - Account_ID-1021,2017-08-01,426849.6551724138,81064.10444827586
33,Building_Code-B8 - Account_ID-1021,2017-09-01,394175.4838709677,69248.81899999999
34,Building_Code-B8 - Account_ID-1021,2017-10-01,391104.51612903224,58394.26699999999
35,Building_Code-B8 - Account_ID-1021,2017-11-01,369760.0,52669.308999999994
36,Building_Code-B8 - Account_ID-1021,2017-12-01,391223.5294117647,53278.005176470586
37,Building_Code-B8 - Account_ID-1021,2018-01-01,398851.4705882353,52243.232261029414
38,Building_Code-B8 - Account_ID-1021,2018-02-01,341111.2068965517,44475.153459051726
39,Building_Code-B8 - Account_ID-1021,2018-03-01,388800.0,53375.33482758621
40,Building_Code-B8 - Account_ID-1021,2018-04-01,363972.4137931034,56421.22758620689
41,Building_Code-B8 - Account_ID-1021,2018-05-01,409441.3793103448,74095.37568965516
