"Account" "Month" "Value" "Anomaly" "Anomaly_Rank"
"1" "Building_Code-B1-Account_ID-1000" 2014-12-01 122.554838709677 FALSE NA
"2" "Building_Code-B1-Account_ID-1000" 2015-01-01 318.125161290323 FALSE NA
"3" "Building_Code-B1-Account_ID-1000" 2015-02-01 396.271428571429 FALSE NA
"4" "Building_Code-B1-Account_ID-1000" 2015-03-01 379.120829493088 FALSE NA
"5" "Building_Code-B1-Account_ID-1000" 2015-04-01 213.507741935484 FALSE NA
"6" "Building_Code-B1-Account_ID-1000" 2015-05-01 225.960303030303 FALSE NA
"7" "Building_Code-B1-Account_ID-1000" 2015-06-01 276.681421107628 FALSE NA
"8" "Building_Code-B1-Account_ID-1000" 2015-07-01 380.909655172414 FALSE NA
"9" "Building_Code-B1-Account_ID-1000" 2015-08-01 396.707711598746 FALSE NA
"10" "Building_Code-B1-Account_ID-1000" 2015-09-01 319.573667711599 FALSE NA
"11" "Building_Code-B1-Account_ID-1000" 2015-10-01 262.965517241379 FALSE NA
"12" "Building_Code-B1-Account_ID-1000" 2015-11-01 212.348599137931 FALSE NA
"13" "Building_Code-B1-Account_ID-1000" 2015-12-01 220.537641129032 FALSE NA
"14" "Building_Code-B1-Account_ID-1000" 2016-01-01 235.871733870968 FALSE NA
"15" "Building_Code-B1-Account_ID-1000" 2016-02-01 225.118922413793 FALSE NA
"16" "Building_Code-B1-Account_ID-1000" 2016-03-01 250.489070010449 FALSE NA
"17" "Building_Code-B1-Account_ID-1000" 2016-04-01 270.042998955068 FALSE NA
"18" "Building_Code-B1-Account_ID-1000" 2016-05-01 340.15275862069 FALSE NA
"19" "Building_Code-B1-Account_ID-1000" 2016-06-01 355.981818181818 FALSE NA
"20" "Building_Code-B1-Account_ID-1000" 2016-07-01 386.240250783699 FALSE NA
"21" "Building_Code-B1-Account_ID-1000" 2016-08-01 401.638620689655 FALSE NA
"22" "Building_Code-B1-Account_ID-1000" 2016-09-01 274.694310344828 FALSE NA
"23" "Building_Code-B1-Account_ID-1000" 2016-10-01 194.053620689655 FALSE NA
"24" "Building_Code-B1-Account_ID-1000" 2016-11-01 222.481379310345 FALSE NA
"25" "Building_Code-B1-Account_ID-1000" 2016-12-01 344.676060606061 FALSE NA
"26" "Building_Code-B1-Account_ID-1000" 2017-01-01 391.519653679654 FALSE NA
"27" "Building_Code-B1-Account_ID-1000" 2017-02-01 298.789285714286 FALSE NA
"28" "Building_Code-B1-Account_ID-1000" 2017-03-01 271.220454545455 FALSE NA
"29" "Building_Code-B1-Account_ID-1000" 2017-04-01 268.069028213166 FALSE NA
"30" "Building_Code-B1-Account_ID-1000" 2017-05-01 306.415517241379 FALSE NA
"31" "Building_Code-B1-Account_ID-1000" 2017-06-01 260.204375 FALSE NA
"32" "Building_Code-B1-Account_ID-1000" 2017-07-01 271.276659482759 FALSE NA
"33" "Building_Code-B1-Account_ID-1000" 2017-08-01 273.980965517241 FALSE NA
"34" "Building_Code-B1-Account_ID-1000" 2017-09-01 231.051225806452 FALSE NA
"35" "Building_Code-B1-Account_ID-1000" 2017-10-01 227.502107526882 FALSE NA
"36" "Building_Code-B1-Account_ID-1000" 2017-11-01 186.116924731183 FALSE NA
"37" "Building_Code-B1-Account_ID-1000" 2017-12-01 83.9177419354839 FALSE NA
"38" "Building_Code-B10-Account_ID-1026" 2017-01-01 0 FALSE NA
"39" "Building_Code-B10-Account_ID-1026" 2017-02-01 0 FALSE NA
"40" "Building_Code-B10-Account_ID-1026" 2017-03-01 9665.41612903226 FALSE NA
"41" "Building_Code-B10-Account_ID-1026" 2017-04-01 16290.3378709677 FALSE NA
"42" "Building_Code-B10-Account_ID-1026" 2017-05-01 19762.116 FALSE NA
"43" "Building_Code-B10-Account_ID-1026" 2017-06-01 24031.519375 FALSE NA
"44" "Building_Code-B10-Account_ID-1026" 2017-07-01 30294.9440732759 FALSE NA
"45" "Building_Code-B10-Account_ID-1026" 2017-08-01 34072.4005517241 FALSE NA
"46" "Building_Code-B10-Account_ID-1026" 2017-09-01 39913.2572903226 FALSE NA
"47" "Building_Code-B10-Account_ID-1026" 2017-10-01 48304.9638820912 FALSE NA
"48" "Building_Code-B10-Account_ID-1026" 2017-11-01 54403.2963900862 FALSE NA
"49" "Building_Code-B10-Account_ID-1026" 2017-12-01 62006.5690826613 FALSE NA
"50" "Building_Code-B10-Account_ID-1026" 2018-01-01 62644.0748387097 FALSE NA
"51" "Building_Code-B10-Account_ID-1026" 2018-02-01 59068.364516129 FALSE NA
"52" "Building_Code-B10-Account_ID-1026" 2018-03-01 63197.1664516129 FALSE NA
"53" "Building_Code-B10-Account_ID-1026" 2018-04-01 69279.3555483871 FALSE NA
"54" "Building_Code-B10-Account_ID-1026" 2018-05-01 72054.33 FALSE NA
"55" "Building_Code-B10-Account_ID-1026" 2018-06-01 62094.668 FALSE NA
"56" "Building_Code-B10-Account_ID-1026" 2018-07-01 72011.08 FALSE NA
"57" "Building_Code-B10-Account_ID-1026" 2018-08-01 73435.645 FALSE NA
"58" "Building_Code-B10-Account_ID-1026" 2018-09-01 85393.7814516129 FALSE NA
"59" "Building_Code-B10-Account_ID-1026" 2018-10-01 96994.4028587319 TRUE 3
"60" "Building_Code-B10-Account_ID-1026" 2018-11-01 97188.7394396552 TRUE 2
"61" "Building_Code-B10-Account_ID-1026" 2018-12-01 19499.26125 TRUE 1
