"Account" "Month" "Value" "Anomaly" "Anomaly_Rank"
"1" "Building_Code-B1-Account_ID-1000" 2014-12-01 1276.62967741935 TRUE 1
"2" "Building_Code-B1-Account_ID-1000" 2015-01-01 2702.24032258065 FALSE NA
"3" "Building_Code-B1-Account_ID-1000" 2015-02-01 2711.90142857143 FALSE NA
"4" "Building_Code-B1-Account_ID-1000" 2015-03-01 3276.25244239631 FALSE NA
"5" "Building_Code-B1-Account_ID-1000" 2015-04-01 3387.56612903226 FALSE NA
"6" "Building_Code-B1-Account_ID-1000" 2015-05-01 3798.07 FALSE NA
"7" "Building_Code-B1-Account_ID-1000" 2015-06-01 4290.95517241379 FALSE NA
"8" "Building_Code-B1-Account_ID-1000" 2015-07-01 5169.80586206897 TRUE 5
"9" "Building_Code-B1-Account_ID-1000" 2015-08-01 4902.38623824451 FALSE NA
"10" "Building_Code-B1-Account_ID-1000" 2015-09-01 4310.86927899686 FALSE NA
"11" "Building_Code-B1-Account_ID-1000" 2015-10-01 4120.49068965517 FALSE NA
"12" "Building_Code-B1-Account_ID-1000" 2015-11-01 3608.77150862069 FALSE NA
"13" "Building_Code-B1-Account_ID-1000" 2015-12-01 3482.1277016129 FALSE NA
"14" "Building_Code-B1-Account_ID-1000" 2016-01-01 3311.4660483871 FALSE NA
"15" "Building_Code-B1-Account_ID-1000" 2016-02-01 3298.74956896552 FALSE NA
"16" "Building_Code-B1-Account_ID-1000" 2016-03-01 4010.28065830721 FALSE NA
"17" "Building_Code-B1-Account_ID-1000" 2016-04-01 4230.66451410658 FALSE NA
"18" "Building_Code-B1-Account_ID-1000" 2016-05-01 4968.95275862069 FALSE NA
"19" "Building_Code-B1-Account_ID-1000" 2016-06-01 4671.85090909091 FALSE NA
"20" "Building_Code-B1-Account_ID-1000" 2016-07-01 4679.75840125392 FALSE NA
"21" "Building_Code-B1-Account_ID-1000" 2016-08-01 5315.79206896552 FALSE NA
"22" "Building_Code-B1-Account_ID-1000" 2016-09-01 4368.43862068966 FALSE NA
"23" "Building_Code-B1-Account_ID-1000" 2016-10-01 3764.35448275862 FALSE NA
"24" "Building_Code-B1-Account_ID-1000" 2016-11-01 3495.70951724138 FALSE NA
"25" "Building_Code-B1-Account_ID-1000" 2016-12-01 3913.06236363636 FALSE NA
"26" "Building_Code-B1-Account_ID-1000" 2017-01-01 4475.65577922078 TRUE 2
"27" "Building_Code-B1-Account_ID-1000" 2017-02-01 4021.90285714286 TRUE 3
"28" "Building_Code-B1-Account_ID-1000" 2017-03-01 3787.16409090909 FALSE NA
"29" "Building_Code-B1-Account_ID-1000" 2017-04-01 3328.49815047022 FALSE NA
"30" "Building_Code-B1-Account_ID-1000" 2017-05-01 3894.30775862069 FALSE NA
"31" "Building_Code-B1-Account_ID-1000" 2017-06-01 3511.4540625 FALSE NA
"32" "Building_Code-B1-Account_ID-1000" 2017-07-01 3431.72369612069 FALSE NA
"33" "Building_Code-B1-Account_ID-1000" 2017-08-01 3695.45724137931 FALSE NA
"34" "Building_Code-B1-Account_ID-1000" 2017-09-01 3394.46741935484 FALSE NA
"35" "Building_Code-B1-Account_ID-1000" 2017-10-01 3252.06258064516 FALSE NA
"36" "Building_Code-B1-Account_ID-1000" 2017-11-01 2621.41870967742 FALSE NA
"37" "Building_Code-B1-Account_ID-1000" 2017-12-01 3601.96129032258 TRUE 4
"38" "Building_Code-B10-Account_ID-1026" 2017-01-01 0 FALSE NA
"39" "Building_Code-B10-Account_ID-1026" 2017-02-01 0 FALSE NA
"40" "Building_Code-B10-Account_ID-1026" 2017-03-01 191217.548387097 FALSE NA
"41" "Building_Code-B10-Account_ID-1026" 2017-04-01 289483.384946237 FALSE NA
"42" "Building_Code-B10-Account_ID-1026" 2017-05-01 325943.666666667 FALSE NA
"43" "Building_Code-B10-Account_ID-1026" 2017-06-01 353750.5875 FALSE NA
"44" "Building_Code-B10-Account_ID-1026" 2017-07-01 437486.122844828 FALSE NA
"45" "Building_Code-B10-Account_ID-1026" 2017-08-01 471896.289655172 FALSE NA
"46" "Building_Code-B10-Account_ID-1026" 2017-09-01 549145.916129032 FALSE NA
"47" "Building_Code-B10-Account_ID-1026" 2017-10-01 641469.208008899 FALSE NA
"48" "Building_Code-B10-Account_ID-1026" 2017-11-01 656861.088362069 FALSE NA
"49" "Building_Code-B10-Account_ID-1026" 2017-12-01 748038.316532258 FALSE NA
"50" "Building_Code-B10-Account_ID-1026" 2018-01-01 736132.935483871 FALSE NA
"51" "Building_Code-B10-Account_ID-1026" 2018-02-01 691019.685483871 FALSE NA
"52" "Building_Code-B10-Account_ID-1026" 2018-03-01 839936.766129032 FALSE NA
"53" "Building_Code-B10-Account_ID-1026" 2018-04-01 881279.250537634 FALSE NA
"54" "Building_Code-B10-Account_ID-1026" 2018-05-01 1038392.23333333 FALSE NA
"55" "Building_Code-B10-Account_ID-1026" 2018-06-01 1143056 FALSE NA
"56" "Building_Code-B10-Account_ID-1026" 2018-07-01 1254953.13793103 FALSE NA
"57" "Building_Code-B10-Account_ID-1026" 2018-08-01 1257880.36206897 FALSE NA
"58" "Building_Code-B10-Account_ID-1026" 2018-09-01 1139348.69354839 FALSE NA
"59" "Building_Code-B10-Account_ID-1026" 2018-10-01 1127223.80645161 FALSE NA
"60" "Building_Code-B10-Account_ID-1026" 2018-11-01 1163227.4375 FALSE NA
"61" "Building_Code-B10-Account_ID-1026" 2018-12-01 235119.5625 TRUE 1
"62" "Building_Code-B100-Account_ID-1237" 2014-12-01 9.2 TRUE 1
"63" "Building_Code-B100-Account_ID-1237" 2015-01-01 142.662068965517 FALSE NA
"64" "Building_Code-B100-Account_ID-1237" 2015-02-01 131.170189098999 FALSE NA
"65" "Building_Code-B100-Account_ID-1237" 2015-03-01 173.416017797553 FALSE NA
"66" "Building_Code-B100-Account_ID-1237" 2015-04-01 207.651724137931 FALSE NA
"67" "Building_Code-B100-Account_ID-1237" 2015-05-01 283.175862068966 FALSE NA
"68" "Building_Code-B100-Account_ID-1237" 2015-06-01 363.755387931034 FALSE NA
"69" "Building_Code-B100-Account_ID-1237" 2015-07-01 390.417025862069 FALSE NA
"70" "Building_Code-B100-Account_ID-1237" 2015-08-01 413.951724137931 FALSE NA
"71" "Building_Code-B100-Account_ID-1237" 2015-09-01 320.116129032258 FALSE NA
"72" "Building_Code-B100-Account_ID-1237" 2015-10-01 243.083870967742 FALSE NA
"73" "Building_Code-B100-Account_ID-1237" 2015-11-01 160.223529411765 FALSE NA
"74" "Building_Code-B100-Account_ID-1237" 2015-12-01 152.476470588235 FALSE NA
"75" "Building_Code-B100-Account_ID-1237" 2016-01-01 139.7 FALSE NA
"76" "Building_Code-B100-Account_ID-1237" 2016-02-01 147.193548387097 FALSE NA
"77" "Building_Code-B100-Account_ID-1237" 2016-03-01 175.323692992214 FALSE NA
"78" "Building_Code-B100-Account_ID-1237" 2016-04-01 199.655172413793 FALSE NA
"79" "Building_Code-B100-Account_ID-1237" 2016-05-01 268.427586206897 FALSE NA
"80" "Building_Code-B100-Account_ID-1237" 2016-06-01 344.65 FALSE NA
"81" "Building_Code-B100-Account_ID-1237" 2016-07-01 416.325757575758 FALSE NA
"82" "Building_Code-B100-Account_ID-1237" 2016-08-01 378.224242424242 FALSE NA
"83" "Building_Code-B100-Account_ID-1237" 2016-09-01 287.651612903226 FALSE NA
"84" "Building_Code-B100-Account_ID-1237" 2016-10-01 201.238042269188 FALSE NA
"85" "Building_Code-B100-Account_ID-1237" 2016-11-01 153.060344827586 FALSE NA
"86" "Building_Code-B100-Account_ID-1237" 2016-12-01 123.25 FALSE NA
"87" "Building_Code-B100-Account_ID-1237" 2017-01-01 128.137931034483 FALSE NA
"88" "Building_Code-B100-Account_ID-1237" 2017-02-01 136.08787541713 FALSE NA
"89" "Building_Code-B100-Account_ID-1237" 2017-03-01 177.463848720801 FALSE NA
"90" "Building_Code-B100-Account_ID-1237" 2017-04-01 200.689655172414 FALSE NA
"91" "Building_Code-B100-Account_ID-1237" 2017-05-01 320.354022988506 FALSE NA
