Build_id,Month,Predicted,Original,Upper_b,Lower_b,Anomaly
Building_Code-B1-Account_ID-1000,2014-12-01,2673.7759684840803,1276.6296774193547,4495.654176086801,767.5143692413138,No
Building_Code-B1-Account_ID-1000,2015-01-01,3157.262424283956,2702.240322580645,5085.137058102241,1284.8586825000386,No
Building_Code-B1-Account_ID-1000,2015-02-01,3170.003588013013,2711.9014285714293,5143.346799584357,1476.2288665069032,No
Building_Code-B1-Account_ID-1000,2015-03-01,3821.225956573273,3276.2524423963127,6087.749267092758,1826.5535905217087,No
Building_Code-B1-Account_ID-1000,2015-04-01,3563.863342953456,3387.5661290322582,5553.447455816922,1436.218658842597,No
Building_Code-B1-Account_ID-1000,2015-05-01,3680.0996103863067,3798.07,5753.291733233049,1672.7161071945093,No
Building_Code-B1-Account_ID-1000,2015-06-01,4055.883509629326,4290.955172413793,6039.532080394127,2065.231142932944,No
Building_Code-B1-Account_ID-1000,2015-07-01,4584.208519286222,5169.805862068966,6756.4594842035285,2397.382734839674,No
Building_Code-B1-Account_ID-1000,2015-08-01,4484.298818030309,4902.386238244513,6569.252056284631,2664.1844062602368,No
Building_Code-B1-Account_ID-1000,2015-09-01,3976.0672257795,4310.869278996865,6681.037000998768,1556.2188367689128,No
Building_Code-B1-Account_ID-1000,2015-10-01,4070.4452625214913,4120.490689655173,6161.870542416404,1977.6769275887007,No
Building_Code-B1-Account_ID-1000,2015-11-01,3592.090192389174,3608.7715086206895,5554.168799461235,1569.0882800217755,No
Building_Code-B1-Account_ID-1000,2015-12-01,2969.399854122484,3482.1277016129034,4945.09465627201,768.877848995816,No
Building_Code-B1-Account_ID-1000,2016-01-01,3322.636092908123,3311.466048387097,5420.688026060832,1221.8485941931556,No
Building_Code-B1-Account_ID-1000,2016-02-01,3713.58127541732,3298.749568965517,5703.9604294838655,1629.9277976878288,No
Building_Code-B1-Account_ID-1000,2016-03-01,3635.6349790667605,4010.2806583072093,5286.625707945666,1926.4815207108006,No
Building_Code-B1-Account_ID-1000,2016-04-01,3717.1976082175574,4230.664514106584,5805.538074723286,1542.3258064372403,No
Building_Code-B1-Account_ID-1000,2016-05-01,4677.829021613026,4968.95275862069,6843.720070723231,2439.131706165138,No
Building_Code-B1-Account_ID-1000,2016-06-01,4401.820016919499,4671.85090909091,6364.094333988487,2544.342980949082,No
