,Account,Month,Prorated_Consumption,Prorated_Charge
0,Building_Code-B15-Account_ID-1038,2014-12-01,13410.57142857143,116.48428571428572
1,Building_Code-B15-Account_ID-1038,2015-01-01,208371.42857142858,1808.8973809523811
2,Building_Code-B15-Account_ID-1038,2015-02-01,193331.2857142857,1676.3236904761902
3,Building_Code-B15-Account_ID-1038,2015-03-01,240831.12807881774,2116.4587807881776
4,Building_Code-B15-Account_ID-1038,2015-04-01,253343.08620689655,2239.0405495689656
5,Building_Code-B15-Account_ID-1038,2015-05-01,325959.7,2898.0553125
6,Building_Code-B15-Account_ID-1038,2015-06-01,382676.80000000005,3437.5636363636368
7,Building_Code-B15-Account_ID-1038,2015-07-01,411374.2068965517,3699.6480877742947
8,Building_Code-B15-Account_ID-1038,2015-08-01,406189.7931034483,3648.1242758620688
9,Building_Code-B15-Account_ID-1038,2015-09-01,313038.0,2796.2721250000004
10,Building_Code-B15-Account_ID-1038,2015-10-01,267516.85714285716,2374.024375
11,Building_Code-B15-Account_ID-1038,2015-11-01,230328.7290640394,2025.8095689655172
12,Building_Code-B15-Account_ID-1038,2015-12-01,217344.41379310345,1898.6288401253917
13,Building_Code-B15-Account_ID-1038,2016-01-01,218229.5483870968,1905.7013489736073
14,Building_Code-B15-Account_ID-1038,2016-02-01,265508.382647386,2334.490500556174
15,Building_Code-B15-Account_ID-1038,2016-03-01,264814.5689655173,2312.9906788793105
16,Building_Code-B15-Account_ID-1038,2016-04-01,287802.6724137931,2539.9765625
17,Building_Code-B15-Account_ID-1038,2016-05-01,338990.1609195402,3014.374
18,Building_Code-B15-Account_ID-1038,2016-06-01,402104.5416666667,3597.917875
19,Building_Code-B15-Account_ID-1038,2016-07-01,456350.125,4094.2122629310343
20,Building_Code-B15-Account_ID-1038,2016-08-01,426972.0,3821.3167711598744
21,Building_Code-B15-Account_ID-1038,2016-09-01,366062.7586206896,3271.138401253919
22,Building_Code-B15-Account_ID-1038,2016-10-01,318119.2413793104,2828.1906896551727
23,Building_Code-B15-Account_ID-1038,2016-11-01,244692.17142857146,2157.209142857143
24,Building_Code-B15-Account_ID-1038,2016-12-01,201917.25714285715,1766.0087142857142
25,Building_Code-B15-Account_ID-1038,2017-01-01,234492.8294930876,2047.8853686635944
26,Building_Code-B15-Account_ID-1038,2017-02-01,239923.74193548388,2102.8898044965786
27,Building_Code-B15-Account_ID-1038,2017-03-01,287419.5862068966,2543.586280041797
28,Building_Code-B15-Account_ID-1038,2017-04-01,287132.15572858736,2545.964560622914
29,Building_Code-B15-Account_ID-1038,2017-05-01,312888.2580645161,2761.0584819734345
30,Building_Code-B15-Account_ID-1038,2017-06-01,304260.0,2650.817647058824
31,Building_Code-B15-Account_ID-1038,2017-07-01,361374.6666666667,3227.540303030303
32,Building_Code-B15-Account_ID-1038,2017-08-01,418789.3333333334,3741.239696969697
33,Building_Code-B15-Account_ID-1038,2017-09-01,563040.0,5055.518181818181
34,Building_Code-B15-Account_ID-1038,2017-10-01,365059.0967741935,3229.978914956012
35,Building_Code-B15-Account_ID-1038,2017-11-01,255236.90322580645,2233.5529032258064
36,Building_Code-B15-Account_ID-1038,2017-12-01,203619.625,1781.68625
37,Building_Code-B15-Account_ID-1038,2018-01-01,170059.80357142855,1479.77375
38,Building_Code-B15-Account_ID-1038,2018-02-01,220248.22269273884,1935.3368352223192
39,Building_Code-B15-Account_ID-1038,2018-03-01,288004.78116826504,2547.6765213600697
40,Building_Code-B15-Account_ID-1038,2018-04-01,242311.56756756757,2146.604310084278
41,Building_Code-B15-Account_ID-1038,2018-05-01,310420.0,2787.152371283997
42,Building_Code-B15-Account_ID-1038,2018-06-01,326975.73333333334,2952.5346287160028
43,Building_Code-B15-Account_ID-1038,2018-07-01,347141.1698924731,3136.514043010753
44,Building_Code-B15-Account_ID-1038,2018-08-01,340532.2002224694,3075.6059399332594
45,Building_Code-B15-Account_ID-1038,2018-09-01,323445.5172413793,2924.181557285873
46,Building_Code-B15-Account_ID-1038,2018-10-01,267158.7126436782,2385.3183385579937
47,Building_Code-B15-Account_ID-1038,2018-11-01,189946.6666666667,1682.188787878788
48,Building_Code-B15-Account_ID-1038,2018-12-01,187541.6551724138,1657.5023841305156
49,Building_Code-B15-Account_ID-1038,2019-01-01,217126.3448275862,1928.4742825361513
50,Building_Code-B52-Account_ID-1130,2015-01-01,127637.38709677418,15012.04806451613
51,Building_Code-B52-Account_ID-1130,2015-02-01,157900.27956989247,18851.78860215054
52,Building_Code-B52-Account_ID-1130,2015-03-01,180558.19540229885,21698.93298850575
53,Building_Code-B52-Account_ID-1130,2015-04-01,171919.2629310345,20462.149719827587
54,Building_Code-B52-Account_ID-1130,2015-05-01,178477.475,21179.572625
55,Building_Code-B52-Account_ID-1130,2015-06-01,179700.1,20913.816
