"Account" "Month" "Value" "Anomaly" "Anomaly_Rank"
"1" "115506-MN10159" 2015-12-01 2929.2438216 FALSE NA
"2" "115506-MN10159" 2016-01-01 4428.86905108965 FALSE NA
"3" "115506-MN10159" 2016-02-01 4600.7239445291 FALSE NA
"4" "115506-MN10159" 2016-03-01 5166.63028826401 FALSE NA
"5" "115506-MN10159" 2016-04-01 5366.26620551724 FALSE NA
"6" "115506-MN10159" 2016-05-01 6079.550128 FALSE NA
"7" "115506-MN10159" 2016-06-01 6388.30799 FALSE NA
"8" "115506-MN10159" 2016-07-01 7010.5415258125 TRUE 4
"9" "115506-MN10159" 2016-08-01 6655.9227919875 TRUE 3
"10" "115506-MN10159" 2016-09-01 6193.46559085517 FALSE NA
"11" "115506-MN10159" 2016-10-01 5474.4399562069 FALSE NA
"12" "115506-MN10159" 2016-11-01 4393.50250398168 FALSE NA
"13" "115506-MN10159" 2016-12-01 2968.07585638206 FALSE NA
"14" "115506-MN10159" 2017-01-01 2530.86651490323 TRUE 1
"15" "115506-MN10159" 2017-02-01 2527.87368329002 FALSE NA
"16" "115506-MN10159" 2017-03-01 2832.1633605903 FALSE NA
"17" "115506-MN10159" 2017-04-01 2856.00328286162 FALSE NA
"18" "115506-MN10159" 2017-05-01 3401.00924502558 FALSE NA
"19" "115506-MN10159" 2017-06-01 3114.64582072414 FALSE NA
"20" "115506-MN10159" 2017-07-01 2183.70401589544 FALSE NA
"21" "115506-MN10159" 2017-08-01 2056.47134670262 FALSE NA
"22" "115506-MN10159" 2017-09-01 2281.78109714368 FALSE NA
"23" "115506-MN10159" 2017-10-01 2009.31908818595 FALSE NA
"24" "115506-MN10159" 2017-11-01 1783.35402996885 FALSE NA
"25" "115506-MN10159" 2017-12-01 1670.78710578276 TRUE 2
"26" "115506-MN10159" 2018-01-01 1731.00475644943 FALSE NA
"27" "115506-MN10159" 2018-02-01 1484.56558463727 FALSE NA
"28" "115506-MN10159" 2018-03-01 1641.0791148633 FALSE NA
"29" "115506-MN10159" 2018-04-01 1509.9841568125 FALSE NA
"30" "115506-MN10159" 2018-05-01 1926.0768559375 FALSE NA
"31" "115506-MN10159" 2018-06-01 2186.20945633333 FALSE NA
"32" "115506-MN10159" 2018-07-01 2386.73661724731 FALSE NA
"33" "115506-MN10159" 2018-08-01 2117.24718122581 FALSE NA
"34" "115506-MN10159" 2018-09-01 2002.15573919355 FALSE NA
"35" "115506-MN10159" 2018-10-01 1968.62704346875 FALSE NA
"36" "115506-MN10159" 2018-11-01 1394.04376091056 FALSE NA
"37" "115506-MN10159" 2018-12-01 172.63190262069 FALSE NA
"38" "277107-MN10163" 2016-05-01 171.5625 FALSE NA
"39" "277107-MN10163" 2016-06-01 215.354833333333 FALSE NA
"40" "277107-MN10163" 2016-07-01 215.607666666667 FALSE NA
"41" "277107-MN10163" 2016-08-01 150.46 FALSE NA
"42" "277107-MN10163" 2016-09-01 127.691551724138 FALSE NA
"43" "277107-MN10163" 2016-10-01 132.145862068966 FALSE NA
"44" "277107-MN10163" 2016-11-01 28.1906631299735 FALSE NA
"45" "277107-MN10163" 2016-12-01 -285.152345740281 FALSE NA
"46" "277107-MN10163" 2017-01-01 10340.4753978495 FALSE NA
"47" "277107-MN10163" 2017-02-01 11344.0922043011 FALSE NA
"48" "277107-MN10163" 2017-03-01 12756.3770512821 FALSE NA
"49" "277107-MN10163" 2017-04-01 12478.9071153846 FALSE NA
"50" "277107-MN10163" 2017-05-01 14565.1652419355 FALSE NA
"51" "277107-MN10163" 2017-06-01 15914.256051168 FALSE NA
"52" "277107-MN10163" 2017-07-01 18119.6718520578 FALSE NA
"53" "277107-MN10163" 2017-08-01 18410.535 FALSE NA
"54" "277107-MN10163" 2017-09-01 18108.3886651835 FALSE NA
"55" "277107-MN10163" 2017-10-01 16197.1155283648 FALSE NA
"56" "277107-MN10163" 2017-11-01 13560.761827957 FALSE NA
"57" "277107-MN10163" 2017-12-01 15116.2395402299 FALSE NA
"58" "277107-MN10163" 2018-01-01 23511.0366963293 FALSE NA
"59" "277107-MN10163" 2018-02-01 22054.1264516129 FALSE NA
"60" "277107-MN10163" 2018-03-01 25815.5219557645 FALSE NA
"61" "277107-MN10163" 2018-04-01 22423.1449956549 FALSE NA
"62" "277107-MN10163" 2018-05-01 26495.6237808454 FALSE NA
"63" "277107-MN10163" 2018-06-01 24132.0459213851 FALSE NA
"64" "277107-MN10163" 2018-07-01 25256.4835829093 FALSE NA
"65" "277107-MN10163" 2018-08-01 25534.7613763441 FALSE NA
"66" "277107-MN10163" 2018-09-01 26944.0747465438 FALSE NA
"67" "277107-MN10163" 2018-10-01 26973.5215810283 FALSE NA
"68" "277107-MN10163" 2018-11-01 24422.1274800309 FALSE NA
"69" "277107-MN10163" 2018-12-01 3741.07522465517 TRUE 1
"70" "277107-MN10167" 2016-10-01 794.34 FALSE NA
"71" "277107-MN10167" 2016-11-01 1124.20625 FALSE NA
"72" "277107-MN10167" 2016-12-01 946.55075 FALSE NA
"73" "277107-MN10167" 2017-01-01 1513.50273327586 FALSE NA
"74" "277107-MN10167" 2017-02-01 1597.85814978865 FALSE NA
"75" "277107-MN10167" 2017-03-01 1800.34308467742 FALSE NA
"76" "277107-MN10167" 2017-04-01 1968.25215955965 FALSE NA
"77" "277107-MN10167" 2017-05-01 2097.72575882745 FALSE NA
"78" "277107-MN10167" 2017-06-01 2024.67730373304 FALSE NA
"79" "277107-MN10167" 2017-07-01 2116.23568513793 FALSE NA
