,Build_id,Total_Anomalies,Total_Count,Percentage
0,1.0 - BLD 01_7836716,1,90,1.1111111111111112
1,1.0 - BLD 01_7838586,4,87,4.597701149425287
2,1.0 - BLD 04_7381828,3,90,3.3333333333333335
3,10.0 - BLD 01_7864550,6,100,6.0
4,10.0 - BLD 02_7864551,3,100,3.0
5,10.0 - BLD 03_8010023,2,100,2.0
6,10.0 - BLD 04_7864536,2,100,2.0
7,10.0 - BLD 05_8163877,2,78,2.564102564102564
8,10.0 - BLD 06_8163892,2,79,2.5316455696202533
9,10.0 - BLD 07_8010032,1,100,1.0
10,10.0 - BLD 08_7864549,5,100,5.0
11,10.0 - BLD 09_8125376,2,97,2.0618556701030926
12,10.0 - BLD 10_8010020,2,100,2.0
13,10.0 - BLD 11_7864545,4,99,4.040404040404041
14,10.0 - BLD 13_8301063,2,97,2.0618556701030926
15,10.0 - BLD 14_8301067,3,100,3.0
16,10.0 - BLD 15_7864540,2,99,2.0202020202020203
17,10.0 - BLD 16_7864543,4,100,4.0
18,10.0 - BLD 16_8163879,2,74,2.7027027027027026
19,100.0 - BLD 01_7250288,3,102,2.941176470588235
20,100.0 - BLD 02_6458115,2,102,1.9607843137254901
21,100.0 - BLD 03 - Community Center_5537272,1,71,1.4084507042253522
22,101.0 - BLD 02_7834072,4,102,3.9215686274509802
23,101.0 - BLD 04_7421675,4,103,3.8834951456310676
24,102.0 - BLD 02_8107087,2,102,1.9607843137254901
25,102.0 - BLD 07_8107064,2,102,1.9607843137254901
26,102.0 - BLD 10_8095559,3,98,3.061224489795918
27,103.0 - BLD 01_7860781,3,102,2.941176470588235
28,103.0 - BLD 04_8743232,3,102,2.941176470588235
29,103.0 - BLD 05_8095087,2,101,1.9801980198019802
30,11.0 - CLASON POINT GARDENS BLD 13_8096758,1,64,1.5625
31,11.0 - CLASON POINT GARDENS BLD 26_8322343,1,64,1.5625
32,11.0 - CLASON POINT GARDENS BLD 35_8362634,1,64,1.5625
33,11.0 - CLASON POINT GARDENS BLD 44_8362632,2,79,2.5316455696202533
34,111.0 - BLD 01_8809141,1,87,1.1494252873563218
35,111.0 - BLD 02_7250823,2,97,2.0618556701030926
36,111.0 - BLD 03_7693515,2,93,2.1505376344086025
37,111.0 - BLD 04_7231512,2,102,1.9607843137254901
38,111.0 - BLD 05 - Community Center_6728438,2,103,1.9417475728155338
39,111.0 - BLD 05_7272306,2,102,1.9607843137254901
40,112.0 - BLD 02_7613299,2,93,2.1505376344086025
41,112.0 - BLD 03_7421651,3,95,3.1578947368421053
42,113.0 - BLD 01_7252796,3,73,4.10958904109589
43,113.0 - BLD 02_6488781,1,71,1.4084507042253522
44,113.0 - BLD 03_8322187,2,102,1.9607843137254901
45,113.0 - BLD 04_7296111,2,73,2.73972602739726
46,113.0 - BLD 05_6369049,3,73,4.10958904109589
47,113.0 - BLD 06_6566403,3,73,4.10958904109589
48,113.0 - BLD 06_8632861,1,51,1.9607843137254901
49,114.0 - BLD 01_7835168,3,103,2.912621359223301
50,116.0 - WEST BRIGHTON I BLD 06_7860113_1600-87.8%,4,101,3.9603960396039604
51,117.0 - BLD 01_7404357,3,95,3.1578947368421053
52,117.0 - BLD 03_6790407,2,70,2.857142857142857
53,117.0 - BLD 03_7382879,2,89,2.247191011235955
54,118.0 - BLD 01_7518352,2,99,2.0202020202020203
55,118.0 - BLD 02_7725456,4,101,3.9603960396039604
56,118.0 - BLD 03_7725454,4,99,4.040404040404041
57,118.0 - BLD 04_7725479,3,101,2.9702970297029703
58,118.0 - BLD 05_7223256,1,98,1.0204081632653061
59,118.0 - BLD 06_7518362,2,97,2.0618556701030926
60,118.0 - BLD 07_7515778,5,96,5.208333333333334
61,120.0 - BLD 01_8125615,2,98,2.0408163265306123
62,121.0 - BLD 02_8095083,2,96,2.083333333333333
63,121.0 - BLD 04_6680683,1,92,1.0869565217391304
64,121.0 - BLD 06_8660158,2,97,2.0618556701030926
65,121.0 - BLD 09_6250421,2,90,2.2222222222222223
66,122.0 - BLD 01_8383643,2,103,1.9417475728155338
67,122.0 - BLD 02_8383642,3,101,2.9702970297029703
68,122.0 - BLD 03_7754295,4,98,4.081632653061225
69,122.0 - BLD 06_8632116,4,99,4.040404040404041
