Building_Meter,FALSE,TRUE,PCNT
1.0 - BLD 01_7836716,99,4,0.038834951
1.0 - BLD 01_7838586,100,3,0.029126214
1.0 - BLD 02_7694040,100,3,0.029126214
1.0 - BLD 03_7177432,98,5,0.048543689
1.0 - BLD 04_7381828,98,5,0.048543689
1.0 - BLD 05_6889487,100,3,0.029126214
1.0 - BLD 06_6469176,100,3,0.029126214
1.0 - BLD 07_7006908,72,1,0.01369863
10.0 - BLD 01_7864550,100,2,0.019607843
10.0 - BLD 02_7864551,100,2,0.019607843
10.0 - BLD 03_8010023,100,2,0.019607843
10.0 - BLD 04_7864536,100,2,0.019607843
10.0 - BLD 05_8163877,100,1,0.00990099
10.0 - BLD 06_8163892,94,5,0.050505051
10.0 - BLD 07_8010032,99,3,0.029411765
10.0 - BLD 08_7864549,98,4,0.039215686
10.0 - BLD 09_8125376,99,3,0.029411765
10.0 - BLD 10_8010020,94,8,0.078431373
10.0 - BLD 11_7864545,100,2,0.019607843
10.0 - BLD 13_8301063,99,3,0.029411765
10.0 - BLD 14_8301067,97,5,0.049019608
10.0 - BLD 15_7864540,99,3,0.029411765
10.0 - BLD 16_7864543,97,5,0.049019608
10.0 - BLD 16_8163879,95,5,0.05
100.0 - BLD 01_7250288,97,6,0.058252427
100.0 - BLD 02_6458115,97,6,0.058252427
100.0 - BLD 03 - Community Center_5537272,71,1,0.013888889
101.0 - BLD 02_7834072,100,3,0.029126214
101.0 - BLD 04_7421675,99,4,0.038834951
102.0 - BLD 02_8107087,100,2,0.019607843
102.0 - BLD 07_8107064,101,2,0.019417476
102.0 - BLD 10_8095559,101,2,0.019417476
103.0 - BLD 01_7860781,98,5,0.048543689
103.0 - BLD 04_8743232,101,2,0.019417476
103.0 - BLD 05_8095087,101,2,0.019417476
109.0 - BLD 01_7861587,79,2,0.024691358
11.0 - CLASON POINT GARDENS BLD 03_7402447,63,3,0.045454545
11.0 - CLASON POINT GARDENS BLD 13_8096758,64,2,0.03030303
11.0 - CLASON POINT GARDENS BLD 26_8322343,62,4,0.060606061
11.0 - CLASON POINT GARDENS BLD 35_8362634,60,6,0.090909091
11.0 - CLASON POINT GARDENS BLD 44_8362632,95,1,0.010416667
111.0 - BLD 01_8809141,99,1,0.01
111.0 - BLD 02_7250823,92,11,0.106796117
111.0 - BLD 03_7693515,100,1,0.00990099
111.0 - BLD 04_7231512,96,7,0.067961165
111.0 - BLD 05 - Community Center_6728438,99,4,0.038834951
111.0 - BLD 05_7272306,97,6,0.058252427
112.0 - BLD 01_7421684,89,3,0.032608696
112.0 - BLD 02_7613299,101,2,0.019417476
112.0 - BLD 03_7421651,101,2,0.019417476
113.0 - BLD 01_7252796,92,2,0.021276596
113.0 - BLD 02_6488781,92,2,0.021276596
113.0 - BLD 03_8322187,96,7,0.067961165
113.0 - BLD 04_7296111,91,3,0.031914894
113.0 - BLD 05_6369049,91,3,0.031914894
113.0 - BLD 06_6566403,87,7,0.074468085
113.0 - BLD 06_8632861,50,1,0.019607843
114.0 - BLD 01_7835168,99,4,0.038834951
114.0 - BLD 02 - Community Center_7704123,101,2,0.019417476
116.0 - WEST BRIGHTON I BLD 06_7860113_1600-87.8%,96,5,0.04950495
117.0 - BLD 01_7404357,100,1,0.00990099
117.0 - BLD 03_6790407,63,7,0.1
117.0 - BLD 03_7382879,100,1,0.00990099
118.0 - BLD 01_7518352,93,10,0.097087379
118.0 - BLD 02_7725456,101,2,0.019417476
118.0 - BLD 03_7725454,101,2,0.019417476
118.0 - BLD 04_7725479,101,2,0.019417476
118.0 - BLD 05_7223256,100,3,0.029126214
118.0 - BLD 06_7518362,100,3,0.029126214
118.0 - BLD 07_7515778,99,2,0.01980198
120.0 - BLD 01_8125615,100,2,0.019607843
121.0 - BLD 02_8095083,101,2,0.019417476
121.0 - BLD 04_6680683,100,2,0.019607843
121.0 - BLD 06_8660158,101,2,0.019417476
121.0 - BLD 09_6250421,100,2,0.019607843
122.0 - BLD 01_8383643,100,3,0.029126214
122.0 - BLD 02_8383642,95,6,0.059405941
122.0 - BLD 03_7754295,101,2,0.019417476
122.0 - BLD 06_8632116,101,2,0.019417476
123.0 - BLD 01_7929705,99,4,0.038834951
123.0 - BLD 05_8205894,71,3,0.040540541
124.0 - BLD 01_8545783,49,3,0.057692308
125.0 - BLD 01_8770735,101,2,0.019417476
126.0 - BLD 03_8095574,101,2,0.019417476
126.0 - BLD 12 - Community Center_8319527,72,2,0.027027027
127.0 - BLD 01_8095604,92,5,0.051546392
128.0 - BLD 01_6598912,98,5,0.048543689
128.0 - BLD 02_6598890,101,2,0.019417476
128.0 - BLD 03_6623243,101,2,0.019417476
128.0 - BLD 04_6623375,97,6,0.058252427
128.0 - BLD 05_7754298,95,8,0.077669903
129.0 - BLD 02_8096901,100,3,0.029126214
130.0 - MORRIS I BLD 05_8096662-58.5,100,2,0.019607843
131.0 - BLD 01_8095075,101,2,0.019417476
131.0 - BLD 02_5536400,101,2,0.019417476
131.0 - BLD 04_8095063,96,7,0.067961165
131.0 - BLD 06_6432705,100,2,0.019607843
132.0 - BLD 10_7209846,101,2,0.019417476
133.0 - BLD 01_7908199,94,9,0.087378641
133.0 - BLD 02_7835163,99,1,0.01
134.0 - BLD 01_8008845,97,6,0.058252427
135.0 - BLD 01_6698686,101,2,0.019417476
135.0 - BLD 02_6147187,100,3,0.029126214
135.0 - BLD 03_7115296,97,6,0.058252427
135.0 - BLD 04_7564874,99,4,0.038834951
135.0 - BLD 05_7703501,100,1,0.00990099
135.0 - BLD 06_6148530,101,2,0.019417476
136.0 - BLD 01_7251088,80,1,0.012345679
136.0 - BLD 02_7835028,93,10,0.097087379
136.0 - BLD 03_7125134,98,5,0.048543689
136.0 - BLD 04_6249590,101,2,0.019417476
136.0 - BLD 05_7117110,101,2,0.019417476
136.0 - BLD 06_5537456,62,4,0.060606061
136.0 - BLD 07_7223193,101,2,0.019417476
136.0 - BLD 08_7116223,101,2,0.019417476
136.0 - BLD 09_7834930,97,6,0.058252427
136.0 - BLD 10_5537606,101,2,0.019417476
136.0 - BLD 11_8256037,76,1,0.012987013
138.0 - BLD 01_8350138,101,2,0.019417476
138.0 - BLD 02_8350139,101,2,0.019417476
138.0 - BLD 03_8350144,100,3,0.029126214
138.0 - BLD 04_8200721,100,3,0.029126214
139.0 - BLD 01_7382887,101,2,0.019417476
139.0 - BLD 02_8300567,66,2,0.029411765
14.0 - INGERSOLL BLD 17_8661656,97,4,0.03960396
14.0 - INGERSOLL BLD 19_8478521,77,1,0.012820513
14.0 - INGERSOLL BLD 20_8572287,99,2,0.01980198
14.0 - INGERSOLL BLD 21_8572284,97,4,0.03960396
14.0 - INGERSOLL BLD 22_8478507,98,1,0.01010101
14.0 - INGERSOLL BLD 23_8572285,100,1,0.00990099
14.0 - INGERSOLL BLD 24_8478484,78,1,0.012658228
14.0 - INGERSOLL BLD 25_8478523,79,1,0.0125
14.0 - INGERSOLL BLD 26_8478502,75,1,0.013157895
14.0 - INGERSOLL BLD 27_8478524,79,1,0.0125
14.0 - INGERSOLL BLD 28_8478482,78,1,0.012658228
14.0 - INGERSOLL BLD 31_8572288,100,1,0.00990099
14.0 - INGERSOLL BLD 33_8572281,100,1,0.00990099
14.0 - INGERSOLL BLD 34_8572282,100,1,0.00990099
14.0 - INGERSOLL BLD 35_8572289,99,2,0.01980198
14.0 - INGERSOLL BLD 36_8478505,100,1,0.00990099
14.0 - NA_8478483,72,1,0.01369863
140.0 - BLD 02_8095585,100,3,0.029126214
140.0 - BLD 05_8095058,97,1,0.010204082
141.0 - BLD 01_8570520,50,2,0.038461538
141.0 - BLD 04_8095575,100,3,0.029126214
142.0 - BLD 01_7225275,95,8,0.077669903
142.0 - BLD 02_5536425,101,2,0.019417476
142.0 - BLD 03_2585398,98,5,0.048543689
143.0 - BLD 01_7272173,97,6,0.058252427
145.0 - BLD 04_8125366,96,7,0.067961165
145.0 - BLD 07_8009943,100,3,0.029126214
147.0 - BLD 08_7152047,99,4,0.038834951
148.0 - BLD 18_7834064,98,2,0.02
149.0 - BLD 01_8362615,101,2,0.019417476
149.0 - BLD 02_8362616,62,2,0.03125
149.0 - BLD 02_8362617,62,2,0.03125
