account,points,anomalies
1.0 - BLD 01_7836716,103,6
1.0 - BLD 01_7838586,103,3
1.0 - BLD 02_7694040,103,0
1.0 - BLD 03_7177432,103,0
1.0 - BLD 04_7381828,103,3
1.0 - BLD 05_6889487,103,0
1.0 - BLD 06_6469176,103,0
1.0 - BLD 07_7006908,73,1
10.0 - BLD 01_7864550,102,8
10.0 - BLD 02_7864551,102,6
10.0 - BLD 03_8010023,102,2
10.0 - BLD 04_7864536,102,5
10.0 - BLD 05_8163877,101,11
10.0 - BLD 06_8163892,99,8
10.0 - BLD 07_8010032,102,3
10.0 - BLD 08_7864549,102,10
10.0 - BLD 09_8125376,102,4
10.0 - BLD 10_8010020,102,2
10.0 - BLD 11_7864545,102,7
10.0 - BLD 13_8301063,102,2
10.0 - BLD 14_8301067,102,3
10.0 - BLD 15_7864540,102,5
10.0 - BLD 16_7864543,102,6
10.0 - BLD 16_8163879,100,7
100.0 - BLD 01_7250288,103,3
100.0 - BLD 02_6458115,103,4
100.0 - BLD 03 - Community Center_5537272,72,2
101.0 - BLD 02_7834072,103,3
101.0 - BLD 04_7421675,103,5
102.0 - BLD 02_8107087,102,4
102.0 - BLD 07_8107064,103,5
102.0 - BLD 10_8095559,103,3
103.0 - BLD 01_7860781,103,5
103.0 - BLD 04_8743232,103,2
103.0 - BLD 05_8095087,103,3
109.0 - BLD 01_7861587,81,5
11.0 - CLASON POINT GARDENS BLD 03_7402447,66,3
11.0 - CLASON POINT GARDENS BLD 13_8096758,66,3
11.0 - CLASON POINT GARDENS BLD 26_8322343,66,4
11.0 - CLASON POINT GARDENS BLD 35_8362634,66,3
11.0 - CLASON POINT GARDENS BLD 44_8362632,96,3
111.0 - BLD 01_8809141,100,3
111.0 - BLD 02_7250823,103,4
111.0 - BLD 03_7693515,101,0
111.0 - BLD 04_7231512,103,8
111.0 - BLD 05 - Community Center_6728438,103,1
111.0 - BLD 05_7272306,103,1
112.0 - BLD 01_7421684,92,8
112.0 - BLD 02_7613299,103,0
112.0 - BLD 03_7421651,103,1
113.0 - BLD 01_7252796,94,6
113.0 - BLD 02_6488781,94,7
113.0 - BLD 03_8322187,103,2
113.0 - BLD 04_7296111,94,7
113.0 - BLD 05_6369049,94,8
113.0 - BLD 06_6566403,94,6
113.0 - BLD 06_8632861,51,4
114.0 - BLD 01_7835168,103,2
114.0 - BLD 02 - Community Center_7704123,103,0
116.0 - WEST BRIGHTON I BLD 06_7860113_1600-87.8%,101,3
117.0 - BLD 01_7404357,101,5
117.0 - BLD 03_6790407,70,6
117.0 - BLD 03_7382879,101,0
118.0 - BLD 01_7518352,103,2
118.0 - BLD 02_7725456,103,2
118.0 - BLD 03_7725454,103,1
118.0 - BLD 04_7725479,103,4
118.0 - BLD 05_7223256,103,0
118.0 - BLD 06_7518362,103,1
118.0 - BLD 07_7515778,101,3
120.0 - BLD 01_8125615,102,6
121.0 - BLD 02_8095083,103,6
121.0 - BLD 04_6680683,102,0
121.0 - BLD 06_8660158,103,0
121.0 - BLD 09_6250421,102,1
122.0 - BLD 01_8383643,103,9
122.0 - BLD 02_8383642,101,4
122.0 - BLD 03_7754295,103,3
122.0 - BLD 06_8632116,103,4
123.0 - BLD 01_7929705,103,7
123.0 - BLD 05_8205894,74,3
124.0 - BLD 01_8545783,52,1
125.0 - BLD 01_8770735,103,2
126.0 - BLD 03_8095574,103,2
126.0 - BLD 12 - Community Center_8319527,74,4
127.0 - BLD 01_8095604,97,3
128.0 - BLD 01_6598912,103,2
128.0 - BLD 02_6598890,103,3
128.0 - BLD 03_6623243,103,0
128.0 - BLD 04_6623375,103,3
128.0 - BLD 05_7754298,103,1
129.0 - BLD 02_8096901,103,8
130.0 - MORRIS I BLD 05_8096662-58.5,102,8
131.0 - BLD 01_8095075,103,5
131.0 - BLD 02_5536400,103,4
131.0 - BLD 04_8095063,103,5
131.0 - BLD 06_6432705,102,1
132.0 - BLD 10_7209846,103,0
133.0 - BLD 01_7908199,103,1
133.0 - BLD 02_7835163,100,0
134.0 - BLD 01_8008845,103,9
135.0 - BLD 01_6698686,103,2
135.0 - BLD 02_6147187,103,6
